id,poi_name,pcdr,t_tag,intro
poi_000001,悦鲤侘寂凤民宿,福建省;泉州市;鲤城区;金洲街,酒店|民宿,"亲爱的客人,欢迎来到我们的家!【位置】我家靠近热门景区钟楼、西街、关帝庙、文庙、天后宫、离美味的泉州特色美食姜母鸭很近【特色服务】我们将为您提供行李寄存服务【户型功能】我家是温馨1居(1室0厅1卫0厨房),房源有1张大床可供2人居住,希望您有个舒适的睡眠。【干净卫生】我们有专业的保洁清扫,让您住得安心"
poi_000002,满洲里快乐之旅民宿(建设路1号分店),内蒙古自治区;呼伦贝尔市;满洲里市;建设路,酒店|民宿,"欢迎来到美丽的边境小城、一路旅途辛苦、愿您与您的家人在这里有一个愉快的假期旅行、满洲里快乐之旅民宿将给您带来家一样的温馨住宿体验,欢迎前来入住。"
poi_000003,安徽省临泉第二中学,安徽省;阜阳市;临泉县;,教育培训|高级中学|教育培训|中学,"临泉二中始建于一九三九年秋,是教育部远程教育示范校,安徽省家教名校,阜阳市语言文字规范化示范校,2009年被省教育厅批准为“安徽省级示范高中”。2017年1月南北校分设,南校专司高中教育,仍沿用“安徽省临泉第二中学”校名(简称临泉二中)。学校坐落于风景秀丽的城南公园之畔,占地173亩。学校现有128个教学班级,学生8500人;拥有一支业务精湛、年富力强的师资队伍:现有教职工530人,其中拥有硕士学位教师30人,本科学历450人,高级职称教师116人,中级教师222人,初级教师146人;受县级、市级表彰50余人,受国家级表彰2人;教师年龄结构比较合理,但是女教师偏多,特别生二胎政策,请产假人员多,给教学带来一定影响。临泉二中为正科级教育事业单位。学校下设科室:教务处、教科室、总务处、电教中心、财务室、校办室、政教处、校团委、安全办、资助办、心理咨询中心等。临泉二中教育教学成绩突出。学校素质教育硕果累累。近年我校师生的科技发明有5件作品在国家、省、市级各项发明比赛中取得了优异的成绩。校园足球运动得到进一步发展。三年来,在县教育局的支持下,足球运动已经成为我校重要的学生运动项目。学校取得的成绩得到了上级领导的认可和嘉奖。我校先后被上级部门授予“临泉县教育系统先进单位”、“阜阳市教育系统先进集体”、“文明单位”、“市级平安校园”、“德育示范校”、“教育教学质量提升先进集体”等荣誉称号。"
poi_000005,婺源渼仑酒店(婺源高铁站店),江西省;上饶市;婺源县;永安路,酒店,"欢迎来到酒店,一家位于高铁站旁的精致商旅酒店!无论您是商务出行还是休闲旅游,这里都将为您带来一段舒适、便捷且充满浪漫气息的入住体验。酒店坐落于高铁站旁,步行仅需5分钟即可到达,交通四通八达,轻松连接城市中心、商业区及热门景点。无论是赶早班高铁,还是深夜抵达,您都能快速入住,享受无缝衔接的出行体验。酒店对面即是去往篁岭的班车站,地理位置优越,我们不仅为您提供一处休憩的居所,更希望为您创造一段难忘的旅途体验。无论是匆匆过客,还是久留旅人,这里都将成为您旅途中的温暖港湾。"
poi_000006,溜溜时光民宿(娄底万豪店),湖南省;娄底市;娄星区;氐星路,酒店|民宿,"娄底溜溜时光民宿:周边有大型购物中心,南面有娄星公园。对面有商业步行街,地下街,美食城。交通便利,环境优美。欢迎您的入住。"
poi_000007,格拉丹东酒店(暂停营业),西藏自治区;拉萨市;城关区;当热西路,酒店|高档型|酒店|商务酒店,"拉萨格拉丹东酒店位于当热西路70号,紧邻有“天然氧吧”之称的自然保护区——拉鲁湿地;环境优美,地理位置优越。酒店集住宿、餐饮、商务、休闲为一体,是一家高星级观景酒店。酒店楼高15层,是拉萨市区的标志性建筑;外观采用藏式设计风格,高雅大方,凸显西藏地方特色。酒店总建筑面积达20000余平方米,拥有各式精品客房,房内配备中央空调、地暖、无线网络、数字电视、舒适卧榻等人性化设施。酒店内设观景包间﹑宴会厅﹑咖啡茶座﹑特色餐吧﹑西餐吧,以一川、粤、湘菜、尼泊尔菜、西餐、藏餐为主打菜系,可承接各类会议及宴会。酒店拥有贴心的服务,优雅的环境,便利的交通,是您在雪域圣地旅游﹑商务洽谈的理想酒店。"
poi_000008,烟台美橘酒店(福山区万达广场店),山东省;烟台市;福山区;福海路,酒店|高档型,"新一代美橘酒店以橘色、绿色、大地色为空间主体,定位于品位与设计感并存的高端酒店,大堂共享长桌的休憩席,自助茶水台,早餐厅,洗衣烘干房,健身房,满足宾客的多元所需。机器人等科技力量的加入,让入住体验更流畅。客房也围绕东方人的当代生活方式做了新升级,特意用彼此独立的书桌和休闲桌适应宾客的工作和休闲双重需求。隔音系统由清华声学所设计,为您带来安静舒适的睡眠环境。智能灯光系统让您在随意自然的氛围中包围。细节之处表达的自由让人忽略了远道而来的奔波。美橘酒店不仅积极改变着其在千万常客心目中的形象,也优化并有趣着国人的出行和生活方式。"
poi_000009,友科太阳能,江苏省;无锡市;江阴市;442省道,购物|建材,"友科太阳能起源于瑞士的一个工程师团队,是一家提供光伏应用技术方案及产品研发的省民营科技企业。公司主营业务有:illios构件式光伏瓦、分布式光伏支架、分布式光伏系统集成。
illios构件式光伏瓦于2009年研发成功,采用瑞士高端技术,适用于光伏建筑一体化,至今为止,在国内外已有超过2万个屋顶安装案例,引领行业。
2012年,友科太阳能成立了新型材料研究所,与德国拜耳材料科技共同研发聚氨酯复合材料在光伏构件中的应用。2013年,公司结合构件式光伏瓦开始分布式光伏系统集成业务,在应用中累积经验,完善产品,旨在为客户提供专业的顾问式营销服务!
友科太阳能作为中国光电建筑应用委员会会员单位。已通过ISO9001:2008质量管理体系认证,并获得光伏电站产品价值大奖、CREC新能源企业年度大奖、国家高新技术产品证书、法国CSTB证书、TUV国际认证、且具有包括欧洲专利在内的22项专利。
公司将持续专注于光伏建筑一体化领域的创新与探索,打造全球绿色光伏构件领导品牌!"
poi_000010,甜甜幼儿园(腊山北路),山东省;济南市;槐荫区;腊山北路,教育培训|幼儿园|教育培训|学前教育,"济南市槐荫区甜甜幼儿园创建于一九九五年,是一所环境优雅、设施先进、管理科学的现代化市级二类园。本园依法办园,规范教学,家长口碑好,得到各级领导的赞赏和社会各届的支持,成为全区幼儿教育的典范。园区占地建筑面积宽广,户外活动场地广阔。幼儿园大、中、小班齐全,每班配有两名教师和一名保育员。园内环境绿化优美,教育设施完备齐全。"
poi_000011,悦榕·栖居酒店(西安回民街钟楼地铁站店),陕西省;西安市;新城区;西一路,酒店|商务酒店|酒店|高档型,"酒店位于古都西安市中心钟楼商圈,毗邻地铁2号线“钟楼站”,可轻松前往高铁北客站、机场及市内各处。 步行即可到达钟鼓楼、回民街、明代古城墙--永宁门、碑林博物馆等景点。可快速到达陕菜美食街区--永兴坊、大雁塔、陕西历史博物馆、大唐芙蓉园等著名景点,让您深处繁华闹市时刻感受千年古都气息。酒店整体为现代中式风格,在细节处融入盛唐文化元素,诗词歌赋的展示充满人文气息,客房设计清雅简约,以唐代特色的仕女画为点缀,清浅的颜色勾勒出整体空间的雅静氛围让人仿佛穿越回大唐盛世,于细节处体现古城西安的文化特色。酒店采用中央空调新风系统,客房配备超奢华酒店高体感床品,全羽绒被、枕芯;一体式全记忆棉床垫;65寸液晶电视;高端卫浴洁具,洗浴恒温装置、干湿分离;高端品牌洗护用品。采用先进的客房智能控制系统,可以智能操控空调、灯光、窗帘、投影仪等设备;还可与智能机器人“小悦悦”休闲互动,闲聊和听音乐等,全方位满足宾客入住的舒适性及个性化需求,为宾客带来新奇的入住感受!酒店致力于为宾客提供轻奢、高端、智能化的住宿体验,全程为您提供贴心周到的尊贵体验,让您在酒店有一个“回家”的舒心体验。"
